SECTION_ID,SONG_ID,PART,BPM,KEY,SECTION_ORDER
208,140,Prechorus,80.0,A Major,2
209,140,Chorus,80.0,F# Major,3
210,141,Intro,81.0,E Major,1
211,141,Verse,81.0,D Major,2
212,141,Chorus,81.0,E Major,3
213,142,Full Song,87.0,E Major,1
214,143,Full Song,74.0,C Major,1
215,144,Full Song,80.0,F Major,1
216,145,Full Song,71.0,A Major,1
217,146,Full Song,84.5,D Major,1
218,147,Full Song,75.0,D# Major,1
219,148,Full Song,86.5,D Major,1
220,149,Full Song,74.0,F Major,1
221,150,Full Song,77.0,C# Major,1
222,151,Full Song,78.0,D# Major,1
223,152,Full Song,86.0,E Major,1
224,153,Full Song,77.0,A Major,1
225,154,Full Song,80.0,F# Major,1
226,155,Full Song,86.5,C# Major,1
227,156,Full Song,82.5,D Major,1
228,157,Full Song,73.0,E Major,1
229,158,Full Song,85.0,D Major,1
230,159,Intro,78.0,A Major,1
231,159,Verse,83.5,C Major,2
232,159,Chorus,83.5,A Major,3
233,160,Full Song,85.0,G# Major,1
234,161,Full Song,71.5,D Major,1
235,162,Full Song,70.0,G Major,1
236,163,Full Song,77.0,D# Major,1
237,164,Intro,72.0,E Major,1
238,164,Verse,72.0,C# Major,2
239,164,Chorus,72.0,E Major,3
240,165,Full Song,82.0,A# Major,1
241,166,Verse,91.0,C Major,1
242,166,Chorus,91.0,F# Major,2
243,167,Full Song,123.0,B Major,1
244,168,Full Song,90.0,A Major,1
245,169,Full Song,134.0,E Major,1
246,170,Full Song,80.0,D Major,1
247,171,Verse,122.0,C# Major,1
248,171,Chorus,122.0,C Major,2
249,172,Verse,92.5,C Major,1
250,172,Chorus,92.5,G Major,2
251,173,Verse,76.0,E Major,1
252,173,Chorus,76.0,F# Major,2
253,174,Full Song,138.0,E Major,1
254,175,Intro,80.0,A# Major,1
255,175,Verse,80.0,C Major,2
256,175,Chorus,80.0,A# Major,3
257,176,Verse,95.0,D# Major,1
258,176,Chorus,95.0,C Major,2
259,177,Full Song,82.0,F Major,1
260,178,Full Song,95.0,E Major,1
261,179,Full Song,124.0,C# Major,1
262,180,Full Song,91.0,F# Major,1
263,181,Verse,85.0,C Major,1
264,181,Chorus,85.0,G Major,2
265,182,Full Song,96.0,D Major,1
266,183,Verse,76.0,D Major,1
267,183,Chorus,76.0,E Major,2
268,183,Bridge,76.0,E Major,3
269,183,Chorus 2,76.0,G Major,4
270,184,Full Song,88.0,E Major,1
271,185,Full Song,87.0,D# Major,1
272,186,Intro,88.0,C# Major,1
273,186,Verse,88.0,E Major,2
274,186,Prechorus A,88.0,E Major,3
275,186,Prechorus B,88.0,G# Major,4
276,186,Chorus,88.0,G# Major,5
277,187,Full Song,84.0,D# Major,1
278,188,Full Song,81.0,D Major,1
279,189,Full Song,70.0,D Major,1
280,190,Full Song,73.5,F Major,1
281,191,Full Song,87.5,D# Major,1
282,192,Intro,124.0,F# Major,1
283,192,Verse,124.0,F# Major,2
284,192,Chorus,124.0,F Major,3
285,192,Bridge,124.0,F# Major,4
286,193,Full Song,129.0,A Major,1
287,194,Full Song,80.0,A Major,1
288,195,Full Song,83.0,G# Major,1
289,196,Full Song,85.0,D# Major,1
290,197,Full Song,75.0,D Major,1
291,198,Verse,97.5,D# Major,1
292,198,Chorus,97.5,D# Major,2
293,198,Last Chorus,97.5,E Major,3
294,199,Full Song,73.0,E Major,1
295,200,Full Song,77.0,B Major,1
296,201,Full Song,92.5,A# Major,1
297,202,Full Song,138.0,B Major,1
298,203,Full Song,125.0,C Major,1
299,204,Full Song,90.0,G Major,1
300,205,Full Song,80.0,A Major,1
301,206,Full Song,71.0,G Major,1
302,207,Full Song,70.5,F# Major,1
303,208,Verse,125.0,D Major,1
304,208,Chorus,125.0,D Major,2
305,208,Bridge,125.0,B Major,3
306,209,Full Song,97.5,C# Major,1
307,210,Verse,88.0,E Major,1
308,210,Chorus,88.0,G Major,2
309,211,Full Song,110.0,G# Major,1
310,212,Verse,101.5,E Major,1
311,212,Prechorus,101.5,G Major,2
312,212,Chorus,101.5,E Major,3
313,213,Full Song,130.0,G Major,1
314,214,Full Song,89.0,C Major,1
315,215,Intro,138.0,A# Major,1
316,215,Verse,138.0,G Major,2
317,215,Chorus,138.0,C Major,3
318,215,Bridge,138.0,D# Major,4
319,216,Full Song,87.5,A# Major,1
320,217,Full Song,100.0,C# Major,1
321,218,Full Song,93.5,D Major,1
322,219,Full Song,72.0,D Major,1
323,220,Verse,90.0,E Major,1
324,220,Chorus,90.0,E Major,2
325,220,Last Chorus,90.0,F Major,3
326,221,Full Song,91.0,C# Major,1
327,222,Full Song,90.0,C# Major,1
328,223,Full Song,90.0,F Major,1
329,224,Full Song,70.0,F Major,1
330,225,Full Song,85.0,D# Major,1
331,226,Verse,93.0,B Major,1
332,226,Prechorus A,93.0,B Major,2
333,226,Prechorus B,93.0,G Major,3
334,226,Chorus,93.0,A Major,4
335,226,Bridge,93.0,A Major,5
336,227,Full Song,136.0,D Major,1
337,228,Full Song,100.0,D# Major,1
338,229,Full Song,93.0,G Major,1
339,230,Verse,120.67,B Major,1
340,230,Chorus,120.67,C Major,2
341,231,Full Song,128.0,G# Major,1
342,232,Verse,87.5,A Major,1
343,232,Prechorus,87.5,G Major,2
344,232,Chorus,87.5,F# Major,3
345,233,Full Song,89.0,C Major,1
346,234,Full Song,75.0,C Major,1
347,235,Full Song,90.0,A Major,1
348,236,Full Song,93.0,G Major,1
349,237,Full Song,120.0,G Major,1
350,238,Full Song,91.0,F# Major,1
351,239,Full Song,130.0,A# Major,1
352,240,Full Song,82.0,G Major,1
353,241,Full Song,72.0,G Major,1
354,242,Full Song,132.0,G Major,1
355,243,Full Song,75.0,F Major,1
356,244,Full Song,124.0,G Major,1
357,245,Full Song,86.0,C# Major,1
358,246,Full Song,97.5,D# Major,1
359,247,Full Song,100.0,D Major,1
360,248,Verse,135.0,B Major,1
361,248,Chorus,135.0,B Major,2
362,248,Bridge,135.0,D Major,3
363,249,Full Song,72.5,C Major,1
364,250,Full Song,121.0,A Major,1
365,251,Intro,70.0,F Major,1
366,251,Verse,70.0,D# Major,2
367,251,Chorus,70.0,F Major,3
368,252,Intro,100.0,C# Major,1
369,252,Verse,136.0,C# Major,2
370,252,Chorus,136.0,F# Major,3
371,253,Full Song,88.0,C# Major,1
372,254,Verse,110.0,F Major,1
373,254,Chorus,110.0,A Major,2
374,255,Full Song,132.0,D Major,1
375,256,Verse,79.0,D Major,1
376,256,Chorus,79.0,E Major,2
377,257,Full Song,92.0,B Major,1
378,258,Full Song,103.0,F# Major,1
379,259,Intro,130.0,D Major,1
380,259,Verse,130.0,F Major,2
381,259,Prechorus A,130.0,F Major,3
382,259,Prechorus B,130.0,D Major,4
383,259,Chorus,130.0,D Major,5
384,259,Last Chorus,130.0,D# Major,6
385,260,Verse,89.0,C Major,1
386,260,Chorus,89.0,D Major,2
387,261,Full Song,73.5,F Major,1
388,262,Full Song,74.0,G Major,1
389,263,Verse,84.5,G# Major,1
390,263,Chorus,84.5,B Major,2
391,264,Full Song,132.0,E Major,1
392,265,Verse,135.0,G Major,1
393,265,Chorus,135.0,G Major,2
394,265,Last Chorus,135.0,G# Major,3
395,266,Full Song,120.0,G# Major,1
396,267,Full Song,104.0,G# Major,1
397,268,Verse,126.0,F Major,1
398,268,Prechorus,126.0,D# Major,2
399,268,Chorus,126.0,C Major,3
400,269,Full Song,85.0,C# Major,1
401,270,Verse,105.0,E Major,1
402,270,Chorus,105.0,C# Major,2
403,271,Full Song,70.0,A Major,1
404,272,Full Song,82.0,A Major,1
405,273,Verse,95.0,B Major,1
406,273,Chorus,95.0,F# Major,2
407,274,Full Song,71.0,C Major,1
408,275,Verse,81.0,C Major,1
409,275,Chorus,81.0,C# Major,2
410,275,Bridge,81.0,C# Major,3
411,276,Full Song,138.0,D Major,1
412,277,Full Song,92.0,F# Major,1
413,278,Full Song,92.0,F# Major,1
414,279,Full Song,90.5,C# Major,1
415,280,Full Song,92.5,G# Major,1
416,281,Verse,90.0,F# Major,1
417,281,Chorus,120.0,G Major,2
418,282,Full Song,137.0,F Major,1
419,283,Verse,76.0,G Major,1
420,283,Chorus,76.0,G Major,2
421,283,Last Chorus,76.0,G# Major,3
422,284,Verse,90.0,D Major,1
423,284,Chorus,90.0,E Major,2
424,285,Verse,102.0,B Major,1
425,285,Prechorus,102.0,D Major,2
426,285,Chorus,102.0,D Major,3
427,286,Full Song,93.5,F# Major,1
428,287,Verse,95.0,D# Major,1
429,287,Chorus,95.0,F# Major,2
430,288,Full Song,92.5,A# Major,1
431,289,Verse,125.0,A# Major,1
432,289,Chorus,125.0,G Major,2
433,290,Full Song,90.0,F Major,1
434,291,Full Song,97.5,D Major,1
435,292,Full Song,136.0,D# Major,1
436,293,Verse,115.5,D Major,1
437,293,Chorus,115.5,F Major,2
438,293,Bridge,115.5,F Major,3
439,294,Full Song,105.0,G Major,1
440,295,Full Song,106.0,D# Major,1
441,296,Full Song,93.5,A# Major,1
442,297,Full Song,70.0,F# Major,1
443,298,Full Song,100.0,E Major,1
444,299,Verse,71.0,A Major,1
445,299,Chorus,71.0,F# Major,2
446,300,Full Song,79.0,D# Major,1
447,301,Full Song,70.5,D# Major,1
448,302,Full Song,101.5,D Major,1
449,303,Full Song,86.0,G Major,1
450,304,Full Song,90.0,G Major,1
451,305,Full Song,130.0,D Major,1
452,306,Full Song,89.0,F Major,1
453,307,Verse,100.0,G# Major,1
454,307,Chorus,100.0,E Major,2
455,308,Full Song,89.0,A Major,1
456,309,Full Song,91.0,B Major,1
457,310,Full Song,122.0,D# Major,1
458,311,Intro,81.0,A Major,1
459,311,Verse,82.0,A Major,2
460,311,Chorus,82.0,A Major,3
461,312,Verse,83.0,D# Major,1
462,312,Chorus,83.0,E Major,2
463,313,Full Song,130.0,C Major,1
464,314,Full Song,82.5,G Major,1
465,315,Full Song,100.0,F# Major,1
466,316,Full Song,96.0,D# Major,1
467,317,Full Song,95.0,G# Major,1
468,318,Intro,135.0,D Major,1
469,318,Verse,135.0,F Major,2
470,318,Chorus,135.0,F Major,3
471,318,Bridge,135.0,G# Major,4
472,319,Intro,100.0,A# Major,1
473,319,Verse,100.0,G# Major,2
474,319,Prechorus,100.0,F Major,3
475,319,Chorus,100.0,D Major,4
476,319,Postchorus,100.0,C# Major,5
477,319,Last Postchorus,100.0,E Major,6
478,320,Full Song,96.5,E Major,1
479,321,Full Song,73.5,G Major,1
480,322,Full Song,96.0,E Major,1
481,323,Full Song,70.0,A# Major,1
482,324,Full Song,111.0,G Major,1
483,325,Verse,126.0,A Major,1
484,325,Chorus,126.0,A# Major,2
485,326,Full Song,132.0,A Major,1
486,327,Verse,87.0,C Major,1
487,327,Prechorus,87.0,A Major,2
488,327,Chorus,87.0,G# Major,3
489,327,Bridge,87.0,G# Major,4
490,328,Full Song,104.0,F# Major,1
491,329,Full Song,120.0,G# Major,1
492,330,Verse,90.0,E Major,1
493,330,Chorus,90.0,G Major,2
494,331,Full Song,80.5,D Major,1
495,332,Full Song,70.0,D# Major,1
496,333,Verse,72.0,E Major,1
497,333,Chorus,72.0,F Major,2
498,334,Full Song,95.0,A Major,1
499,335,Full Song,129.0,F# Major,1
500,336,Full Song,90.0,G Major,1
501,337,Full Song,82.5,C# Major,1
502,338,Full Song,89.0,C Major,1
503,339,Full Song,90.0,F Major,1
504,340,Full Song,107.0,G# Major,1
505,341,Full Song,74.0,D Major,1
506,342,Verse,83.5,A Major,1
507,342,Chorus,83.5,F# Major,2
508,343,Verse,95.0,A Major,1
509,343,Chorus,95.0,F# Major,2
510,344,Full Song,90.0,A# Major,1
511,345,Verse,76.0,G Major,1
512,345,Chorus,76.0,G# Major,2
513,346,Full Song,92.0,F Major,1
514,347,Full Song,85.0,G Major,1
515,348,Full Song,75.0,C Major,1
516,349,Verse,96.0,D# Major,1
517,349,Chorus,96.0,F# Major,2
518,350,Full Song,105.0,A# Major,1
519,351,Full Song,97.0,F Major,1
520,352,Full Song,103.0,D# Major,1
521,353,Full Song,135.0,C Major,1
522,354,Full Song,130.0,G# Major,1
523,355,Verse,72.5,D# Major,1
524,355,Chorus,72.5,F# Major,2
525,356,Full Song,91.33,F# Major,1
526,357,Full Song,102.5,G Major,1
527,358,Full Song,94.0,E Major,1
528,359,Full Song,87.0,F Major,1
529,360,Full Song,125.0,D# Major,1
530,361,Full Song,97.5,E Major,1
531,362,Intro,136.0,C Major,1
532,362,Verse,136.0,A Major,2
533,362,Chorus,136.0,C Major,3
534,363,Intro,87.0,G# Major,1
535,363,Verse,114.66,G# Major,2
536,363,Prechorus,114.66,G# Major,3
537,363,Chorus,114.66,A Major,4
538,364,Verse,89.0,G Major,1
539,364,Chorus,89.0,A Major,2
540,364,Postchorus,89.0,G Major,3
541,364,Bridge,89.0,A Major,4
542,365,Verse,123.0,A Major,1
543,365,Chorus,123.0,B Major,2
544,366,Verse,98.5,G Major,1
545,366,Chorus,98.5,E Major,2
546,367,Full Song,84.5,G# Major,1
547,368,Intro 1,98.0,F Major,1
548,368,Intro 2,97.5,F Major,2
549,368,Verse,97.5,F Major,3
550,368,Chorus,97.5,D# Major,4
551,368,Postchorus,97.5,E Major,5
552,369,Verse,79.0,F# Major,1
553,369,Chorus,79.0,F Major,2
554,370,Full Song,85.0,D Major,1
555,371,Verse,120.0,D# Major,1
556,371,Chorus,120.0,C Major,2
557,372,Full Song,71.5,E Major,1
558,373,Verse,94.0,C Major,1
559,373,Chorus,94.0,A Major,2
560,373,Bridge,94.0,A Major,3
561,374,Full Song,108.0,G Major,1
562,375,Full Song,128.0,C Major,1
563,376,Full Song,101.0,D# Major,1
564,377,Full Song,80.5,G# Major,1
565,378,Full Song,137.0,B Major,1
566,379,Full Song,127.0,C# Major,1
567,380,Full Song,83.5,G Major,1
568,381,Full Song,128.0,G Major,1
569,382,Full Song,72.5,A# Major,1
570,383,Full Song,92.5,E Major,1
571,384,Full Song,78.0,F# Major,1
572,385,Full Song,132.0,D# Major,1
573,386,Full Song,84.0,G# Major,1
574,387,Full Song,92.5,G# Major,1
575,388,Full Song,105.0,C# Major,1
576,389,Full Song,131.0,G Major,1
577,390,Full Song,80.0,A Major,1
578,391,Full Song,94.0,G Major,1
579,392,Full Song,70.0,F Major,1
580,393,Full Song,79.0,G Major,1
581,394,Full Song,136.0,D Major,1
582,395,Full Song,110.0,D# Major,1
583,396,Full Song,90.0,E Major,1
584,397,Verse,87.5,G# Major,1
585,397,Chorus,87.5,F Major,2
586,398,Full Song,92.5,E Major,1
587,399,Verse,98.0,A Major,1
588,399,Chorus,98.0,C Major,2
589,399,Postchorus,98.0,D Major,3
590,400,Full Song,135.0,F Major,1
591,401,Verse,111.0,F# Major,1
592,401,Chorus,111.0,D Major,2
593,402,Full Song,85.0,C# Major,1
594,403,Full Song,130.0,A Major,1
595,404,Verse,85.0,B Major,1
596,404,Chorus,85.0,E Major,2
597,404,Bridge,85.0,C# Major,3
598,404,Last Chorus,85.0,F Major,4
599,405,Verse,120.0,D Major,1
600,405,Chorus,120.0,A Major,2
601,406,Full Song,124.0,D Major,1
602,407,Full Song,97.5,F# Major,1
603,408,Intro 1,107.5,F Major,1
604,408,Intro 2,107.5,G Major,2
605,408,Verse,107.5,G Major,3
606,408,Chorus,107.5,F Major,4
607,409,Full Song,86.0,F# Major,1
608,410,Full Song,98.0,A Major,1
609,411,Intro,79.0,D# Major,1
610,411,Verse,85.0,D# Major,2
611,411,Chorus,85.0,D# Major,3
612,412,Full Song,100.0,E Major,1
613,413,Full Song,90.0,G Major,1
614,414,Full Song,114.0,E Major,1
615,415,Verse,86.0,E Major,1
616,415,Chorus,86.0,A# Major,2
617,416,Full Song,135.0,F# Major,1
618,417,Full Song,70.0,D Major,1
619,418,Full Song,100.0,F# Major,1
620,419,Verse,102.5,G# Major,1
621,419,Prechorus,102.5,E Major,2
622,419,Chorus,102.5,C Major,3
623,420,Verse,72.5,G Major,1
624,420,Chorus,72.5,A# Major,2
625,421,Full Song,92.5,B Major,1
626,422,Verse,88.0,F Major,1
627,422,Prechorus,88.0,G# Major,2
628,422,Chorus,88.0,F Major,3
629,423,Full Song,83.0,A# Major,1
630,424,Full Song,115.0,C# Major,1
631,425,Verse,90.0,D Major,1
632,425,Chorus,90.0,B Major,2
633,426,Full Song,136.0,F Major,1
634,427,Verse,85.5,G# Major,1
635,427,Chorus,85.5,A Major,2
636,428,Full Song,136.0,G Major,1
637,429,Verse,87.5,C# Major,1
638,429,Chorus,87.5,D# Major,2
639,430,Full Song,86.0,F Major,1
640,431,Full Song,74.5,G Major,1
641,432,Full Song,100.0,D Major,1
642,433,Full Song,106.0,D# Major,1
643,434,Full Song,82.0,C# Major,1
644,435,Full Song,73.0,F Major,1
645,436,Full Song,89.0,D# Major,1
646,437,Full Song,102.0,F# Major,1
647,438,Full Song,88.0,G# Major,1
648,439,Full Song,87.5,G Major,1
649,440,Verse,138.0,A Major,1
650,440,Prechorus,138.0,C Major,2
651,440,Chorus,138.0,C Major,3
652,441,Full Song,112.5,A Major,1
653,442,Full Song,73.5,D Major,1
654,443,Full Song,79.0,D Major,1
655,444,Verse,90.0,C Major,1
656,444,Prechorus,90.0,D# Major,2
657,444,Chorus,90.0,F# Major,3
658,445,Full Song,77.5,G Major,1
659,446,Full Song,73.0,A Major,1
660,447,Full Song,97.0,D# Major,1
661,448,Verse,103.0,D Major,1
662,448,Chorus,103.0,A Major,2
663,449,Full Song,73.5,A# Major,1
664,450,Full Song,85.5,B Major,1
665,451,Verse,130.0,F# Major,1
666,451,Chorus,130.0,A Major,2
667,452,Verse,87.5,B Major,1
668,452,Prechorus,87.5,D Major,2
669,452,Chorus,87.5,F Major,3
670,453,Full Song,84.0,C# Major,1
671,454,Full Song,78.0,G Major,1
672,455,Full Song,78.0,F Major,1
673,456,Verse,88.0,F# Major,1
674,456,Prechorus,88.0,D# Major,2
675,456,Chorus,88.0,F# Major,3
676,457,Verse,87.0,B Major,1
677,457,Prechorus,89.0,B Major,2
678,457,Chorus,90.0,B Major,3
679,458,Verse,86.0,E Major,1
680,458,Chorus,86.0,C Major,2
681,459,Full Song,88.5,C Major,1
682,460,Full Song,82.0,A# Major,1
683,461,Verse,100.0,G Major,1
684,461,Chorus,100.0,A Major,2
685,462,Verse,108.0,G# Major,1
686,462,Chorus,108.0,B Major,2
687,463,Full Song,130.0,G Major,1
688,464,Verse,88.0,G# Major,1
689,464,Chorus,88.0,F Major,2
690,465,Verse,94.0,A Major,1
691,465,Prechorus,94.0,D Major,2
692,465,Chorus,94.0,D Major,3
693,466,Full Song,71.5,A Major,1
694,467,Verse,105.0,B Major,1
695,467,Chorus,105.0,G# Major,2
696,468,Full Song,71.0,C# Major,1
697,469,Full Song,92.4,D Major,1
698,470,Full Song,131.0,G Major,1
699,471,Full Song,135.0,D# Major,1
700,472,Full Song,126.0,C# Major,1
701,473,Full Song,78.0,D# Major,1
702,474,Full Song,128.0,F Major,1
703,475,Full Song,120.0,D# Major,1
704,476,Full Song,128.0,G Major,1
705,477,Verse,100.0,B Major,1
706,477,Chorus,100.0,C# Major,2
707,478,Full Song,93.0,F Major,1
708,479,Verse,80.0,A Major,1
709,479,Chorus,80.0,F# Major,2
710,480,Full Song,94.0,F# Major,1
711,481,Full Song,118.0,F# Major,1
712,482,Full Song,72.5,G# Major,1
713,483,Full Song,73.5,G Major,1
714,484,Full Song,135.0,G# Major,1
715,485,Full Song,76.5,D# Major,1
716,486,Full Song,128.0,B Major,1
717,487,Verse,71.5,A# Major,1
718,487,Chorus,71.5,A# Major,2
719,487,Verse 2,84.5,A# Major,3
720,488,Verse,122.0,F# Major,1
721,488,Chorus,122.0,G# Major,2
722,489,Full Song,106.0,E Major,1
723,490,Verse,80.0,A Major,1
724,490,Chorus,80.0,C Major,2
